inbox, A
assign, B
star, C
star-filled, D
duedate, E
week, F
infinite, G
checkmark, H
bubble, I
bubble-small-filled, J
list, K
people, L
plus, M
pen, N
microphone, O
date, P
pin, Q
bubble-small, R
paperclip, S
paperclip-filled, T
eye, U
eye-closed, V
invite, W
mail, X
lock, Y
printer, Z
sort-az, a
sort-dd, b
duedate-filled, c
checkbox-filled, d
reminder, e
recurring, f
refresh, g
extend, h
collapse, i
trash, j
person, k
bell, l
bell-small, m
logout, n
background, o
add, p
appbadge, q
dnd, r
clear, s
support, t
info, u
write, v
back, w
hamburger, x
sync, y
search, z
settings, 0
camera, 1
hashtag, 2
pictures, 3
x, 4
x-h, 5
x-a, 6
refresh-s, 7
refresh-s-h, 8
refresh-s-a, 9
heart, Æ
heart-f, Œ
options, ø
smiley-h, I
check-f-old, \005C
arrow-dn, –
